NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,,int64,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,,,,,no_plot,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,,int64,epoch_delta,support_data,,,,,no_plot,epoch_delta,,epoch_delta,ns,0,86000000000000,-9223372036854770000,,,linear,,,,,,,,,,,,,,,,,,,
h_intensity,"(epoch, h_energy, pitch_angle, gyrophase)",float32,H intensity by pitch angle and gyrophase,data,epoch,h_energy,pitch_angle,gyrophase,spectrogram,H_Intensity,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,h_intensity_delta_plus,h_intensity_delta_minus,,,,0.0001,1000,,,,
he4_intensity,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,He4 intensity by pitch angle and gyrophase,data,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,He4_Intensity,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,he4_intensity_delta_plus,he4_intensity_delta_minus,,,,0.0001,1000,,,,
cno_intensity,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,CNO intensity by pitch angle and gyrophase,data,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,CNO_Intensity,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,cno_intensity_delta_plus,cno_intensity_delta_minus,,,,0.0001,1000,,,,
nemgsi_intensity,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,NeMgSi intensity by pitch angle and gyrophase,data,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,NeMgSi_Intensity,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,nemgsi_intensity_delta_plus,nemgsi_intensity_delta_minus,,,,0.0001,1000,,,,
fe_intensity,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Fe intensity by pitch angle and gyrophase,data,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,Fe_Intensity,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,fe_intensity_delta_plus,fe_intensity_delta_minus,,,,0.0001,1000,,,,
h_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,H intensity by pitch angle,data,epoch,h_energy,pitch_angle,,spectrogram,H_Intensity_PA,g9.3,H Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,h_intensity_pa_delta_plus,h_intensity_pa_delta_minus,,,,0.0001,1000,,,,
he4_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,He4 intensity by pitch angle,data,epoch,he4_energy,pitch_angle,,spectrogram,He4_Intensity_PA,g9.3,He4 Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,he4_intensity_pa_delta_plus,he4_intensity_pa_delta_minus,,,,0.0001,1000,,,,
cno_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,CNO intensity by pitch angle,data,epoch,cno_energy,pitch_angle,,spectrogram,CNO_Intensity_PA,g9.3,CNO Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,cno_intensity_pa_delta_plus,cno_intensity_pa_delta_minus,,,,0.0001,1000,,,,
nemgsi_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,NeMgSi intensity by pitch angle,data,epoch,nemgsi_energy,pitch_angle,,spectrogram,NeMgSi_Intensity_PA,g9.3,NeMgSi Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,nemgsi_intensity_pa_delta_plus,nemgsi_intensity_pa_delta_minus,,,,0.0001,1000,,,,
fe_intensity_pa,"(epoch, fe_energy, pitch_angle)",float32,Fe intensity by pitch angle,data,epoch,fe_energy,pitch_angle,,spectrogram,Fe_Intensity_PA,g9.3,Fe Intensity PA,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,fe_intensity_pa_delta_plus,fe_intensity_pa_delta_minus,,,,0.0001,1000,,,,
h_intensity_delta_plus,"(epoch, h_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for H by pitch angle and gyrophase,support_data,epoch,h_energy,pitch_angle,gyrophase,spectrogram,H_Plus_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_delta_minus,"(epoch, h_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for H by pitch angle and gyrophase,support_data,epoch,h_energy,pitch_angle,gyrophase,spectrogram,H_Minus_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_delta_plus,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for He4 by pitch angle and gyrophase,support_data,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,He4_Plus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_delta_minus,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for He4 by pitch angle and gyrophase,support_data,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,He4_Minus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_plus,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for CNO by pitch angle and gyrophase,support_data,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,CNO_Plus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_minus,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for CNO by pitch angle and gyrophase,support_data,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,CNO_Minus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_plus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,NeMgSi_Plus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_minus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,NeMgSi_Minus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_plus,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for Fe by pitch angle and gyrophase,support_data,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,Fe_Plus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_minus,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for Fe by pitch angle and gyrophase,support_data,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,Fe_Minus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_pa_delta_plus,"(epoch, h_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for H by pitch angle ,support_data,epoch,h_energy,pitch_angle,,spectrogram,H_Plus_PA_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_pa_delta_minus,"(epoch, h_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for H by pitch angle ,support_data,epoch,h_energy,pitch_angle,,spectrogram,H_Minus_PA_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_pa_delta_plus,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for He4 by pitch angle ,support_data,epoch,he4_energy,pitch_angle,,spectrogram,He4_Plus_PA_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_pa_delta_minus,"(epoch, he4_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for He4 by pitch angle ,support_data,epoch,he4_energy,pitch_angle,,spectrogram,He4_Minus_PA_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_pa_delta_plus,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for CNO by pitch angle ,support_data,epoch,cno_energy,pitch_angle,,spectrogram,CNO_Plus_PA_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_pa_delta_minus,"(epoch, cno_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for CNO by pitch angle ,support_data,epoch,cno_energy,pitch_angle,,spectrogram,CNO_Minus_PA_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_pa_delta_plus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for NeMgSi by pitch angle ,support_data,epoch,nemgsi_energy,pitch_angle,,spectrogram,NeMgSi_Plus_PA_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_pa_delta_minus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for NeMgSi by pitch angle ,support_data,epoch,nemgsi_energy,pitch_angle,,spectrogram,NeMgSi_Minus_PA_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_pa_delta_plus,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Plus uncertainty for Fe by pitch angle ,support_data,epoch,fe_energy,pitch_angle,,spectrogram,Fe_Plus_PA_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_pa_delta_minus,"(epoch, fe_energy, pitch_angle, gyrophase)",float32,Minus uncertainty for Fe by pitch angle ,support_data,epoch,fe_energy,pitch_angle,,spectrogram,Fe_Minus_PA_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),,10000000000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_energy,(num h energy ranges),float32,Energy bins for H by pitch angle and gyrophase,support_data,,,,,no_plot,H_Energy,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,h_energy_delta_plus,h_energy_delta_minus,,,,,,,,,
he4_energy,(num he4 energy ranges),float32,Energy bins for He4 by pitch angle and gyrophase,support_data,,,,,no_plot,He4_Energy,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,he4_energy_delta_plus,he4_energy_delta_minus,,,,,,,,,
cno_energy,(num cno energy ranges),float32,Energy bins for CNO by pitch angle and gyrophase,support_data,,,,,no_plot,CNO_Energy,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,cno_energy_delta_plus,cno_energy_delta_minus,,,,,,,,,
nemgsi_energy,(num nemgsi energy ranges),float32,Energy bins for NeMgSi by pitch angle and gyrophase,support_data,,,,,no_plot,NeMgSi_Energy,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,nemgsi_energy_delta_plus,nemgsi_energy_delta_minus,,,,,,,,,
fe_energy,(num fe energy ranges),float32,Energy bins for Fe by pitch angle and gyrophase,support_data,,,,,no_plot,Fe_Energy,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,fe_energy_delta_plus,fe_energy_delta_minus,,,,,,,,,
h_energy_delta_plus,(num h energy ranges),float32,H energy bin Delta plus,support_data,,,,,no_plot,h_energy_delta_plus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_energy_delta_plus,(num he4 energy ranges),float32,He4 energy bin Delta plus,support_data,,,,,no_plot,he4_energy_delta_plus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_energy_delta_plus,(num cno energy ranges),float32,CNO energy bin Delta plus,support_data,,,,,no_plot,cno_energy_delta_plus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_energy_delta_plus,(num nemgsi energy ranges),float32,NeMgSi energy bin Delta plus,support_data,,,,,no_plot,nemgsi_energy_delta_plus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_energy_delta_plus,(num fe energy ranges),float32,Fe energy bin Delta plus,support_data,,,,,no_plot,fe_energy_delta_plus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_energy_delta_minus,(num h energy ranges),float32,H energy bin Delta minus,support_data,,,,,no_plot,h_energy_delta_minus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_energy_delta_minus,(num he4 energy ranges),float32,He4 energy bin Delta minus,support_data,,,,,no_plot,he4_energy_delta_minus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_energy_delta_minus,(num cno energy ranges),float32,CNO energy bin Delta minus,support_data,,,,,no_plot,cno_energy_delta_minus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_energy_delta_minus,(num nemgsi energy ranges),float32,NeMgSi energy bin Delta minus,support_data,,,,,no_plot,nemgsi_energy_delta_minus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_energy_delta_minus,(num fe energy ranges),float32,Fe energy bin Delta minus,support_data,,,,,no_plot,fe_energy_delta_minus,F5.1,Energy,MeV,,1000,-1.0000E+31,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
pitch_angle,(num pitch angle bins),float32,Pitch Angle Bin,support_data,,,,,no_plot,pitch_angle,F5.1,Pitch Angle,Degree,0,180,-1.0000E+31,,,linear,,,,,,,,,pitch_angle_delta,pitch_angle_delta,,,,,,,,,
pitch_angle_delta,(num pitch angle bins),float32,Pitch Angle Bin Delta,support_data,,,,,no_plot,pitch_angle_delta,F5.1,Pitch Angle Delta,Degree,0,180,-1.0000E+31,,,linear,,,,,,,,,,,,,,,,,,,
gyrophase,(num gyrophase bins),float32,Gyrophase,support_data,,,,,no_plot,gyrophase,F5.1,Gyrophase,Degree,0,360,-1.0000E+31,,,linear,,,,,,,,,gyrophase_delta,gyrophase_delta,,,,,,,,,
gyrophase_delta,(num gyrophase bins),float32,Gyrophase Delta,support_data,,,,,no_plot,gyrophase_delta,F5.1,Gyrophase Delta,Degree,0,360,-1.0000E+31,,,linear,,,,,,,,,,,,,,,,,,,
measurement_pitch_angle,(num pitch angle bins),float32,Measured input pitch angle before rebinning,support_data,,,,,no_plot,measurement_pitch_angle,F5.1,Pitch Angle,Degree,0,180,-1.0000E+31,,,linear,,,,,,,,,,,,,,,,,,,
measurement_gyrophase,(num gyrophase bins),float32,Measured input gyrophase before rebinning,support_data,,,,,no_plot,measurement_gyrophase,F5.1,Gyrophase,Degree,0,360,-1.0000E+31,,,linear,,,,,,,,,,,,,,,,,,,