NAME,DATA_TYPE,Data shape,CATDESC,VAR_TYPE,RECORD_VARYING,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,CDF_TIME_TT2000,epoch,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,RV,,,,,no_plot,,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,CDF_INT8,epoch_delta,epoch_delta,support_data,NRV,,,,,no_plot,,epoch_delta,I14,epoch_delta,ns,0,86000000000000,-9.22337E+18,,,linear,,,,,,,,,,,,,,,,,,,
charge,CDF_FLOAT,"(epoch, charge)",Particle Atomic Charge (Element) estimate (float),data,RV,epoch,,,,time_series,"PRIMARY_VAR,SUMMARY",charge,F15.3,Charge,MeV,0,200,-1.00E+31,,,linear,,,,,,,,,,,,,,,,,,,
energy,CDF_FLOAT,"(epoch, energy)",Energy (sum of all delta-Es with cosine correction),data,RV,epoch,,,,time_series,"PRIMARY_VAR,SUMMARY",energy,F15.3,Energy,MeV,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
energy_in_detector,CDF_FLOAT,"(epoch, detector_id, energy_in_detector)",Energy In Detector (delta-E in detector_id detector with cosine correction),data,RV,epoch,detector_id,,,no_plot,,energy_at_detector,F15.3,,,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
range,CDF_UINT1,"(epoch, range)","Particle Range (2 = L1L2, 3=L1L2L3, 4=L1L2L3L3)",data,RV,epoch,,,,no_plot,,range,I4,,,0,4,255,,,linear,,,,,,,,,,,,,,,,,,,
delta_e,CDF_FLOAT,"(epoch, delta_e)",Delta E (Energy deposited in detector that particle fully penetrates),data,RV,epoch,,,,time_series,"PRIMARY_VAR,SUMMARY",delta_e,F15.3,Delta E,MeV,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
e_prime,CDF_FLOAT,"(epoch, e_prime)",E Prime (Energy deposited in stopping detector),data,RV,epoch,,,,time_series,"PRIMARY_VAR,SUMMARY",e_prime,F15.3,E Prime,MeV,1,10000,-1.00E+31,,,log,,,,,,,,,,,,,,0.0001,10000,,,,
particle_id,CDF_UINT2,"(epoch, particle_id)",Particle Id (instrument internal identification number),data,RV,epoch,,,,no_plot,,particle_id,I8,,,0,255,65535,,,linear,,,,,,,,,,,,,,,,,,,
priority_buffer_number,CDF_UINT1,"(epoch, priority_buffer_number)",Priority Buffer Number (instrument has multiple buffers to prioritize events to be transmitted to ground),data,RV,epoch,,,,no_plot,,priority_buffer_number,I4,,,0,254,255,,,linear,,,,,,,,,,,,,,,,,,,
latency,CDF_UINT1,"(epoch, latency)",Latency (delay between particle entering and leaving Priority Buffer),data,RV,epoch,,,,no_plot,,latency,I4,,,0,16,255,,,linear,,,,,,,,,,,,,,,,,,,
stim_tag,CDF_INT1,"(epoch, stim_tag)","Stim Tag (1 = Indicates Stimulus event, charge from pulsers not real event)",data,RV,epoch,,,,no_plot,,stim_tag,I4,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
long_event_flag,CDF_INT1,"(epoch, long_event_flag)",Long Event Flag (1 if extra fields in transmitted event),data,RV,epoch,,,,no_plot,,long_event_flag,I4,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
haz_tag,CDF_INT1,"(epoch, haz_tag)","Haz Tag (Hazard, 1 if second event occured too soon after first event)",data,RV,epoch,,,,no_plot,,haz_tag,I4,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
side,CDF_INT1,"(epoch, a_b_side)","A B Side (0 = A-side, opposite Sun, 1 = B-side, Sunward)",data,RV,epoch,,,,no_plot,,a_b_side,I4,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
has_unread_flag,CDF_INT1,"(epoch, has_unread_flag)",Has Unread Flag (1 if not all triggered PHA channels transmitted with event),data,RV,epoch,,,,no_plot,,has_unread_flag,I4,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
culling_flag,CDF_INT1,"(epoch, culling_flag)",Culling Flag (1 if onboard DPU removed some PHA channels),data,RV,epoch,,,,no_plot,,culling_flag,I4,,,0,1,-1.28E+02,,,linear,,,,,,,,,,,,,,,,,,,
pha_value,CDF_UINT2,"(epoch, detector_id, pha_value)",Pha Value (raw pulse height value),data,RV,epoch,detector_id,,,spectrogram,"PRIMARY_VAR,SUMMARY",pha_value,I8,PHA Value,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
is_low_gain,CDF_INT1,"(epoch, detector_id, is_low_gain)",Is Low Gain (1 if pha_value is from low-gain channel),data,RV,epoch,detector_id,,,no_plot,,is_low_gain,I4,,,0,1,-128,,,linear,,,,,,,,,,,,,,,,,,,
detector_flags,CDF_UINT2,"(epoch, detector_flags)","Detector Flags (bit 0 = L1A, 1 = L2A, 2 = L3A, 3 = L1B, 4 = L2B, 5 = L3B, 6 = L4A, 7 = L4B)",data,RV,epoch,,,,no_plot,,detector_flags,I8,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
deindex,CDF_UINT2,"(epoch, deindex)",Index of Delta E (range 0 - 399),data,RV,epoch,,,,no_plot,,deindex,I8,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
epindex,CDF_UINT2,"(epoch, epindex)",Index of E Prime (range 0 - 127),data,RV,epoch,,,,no_plot,,epindex,I8,,,0,65534,65535,,,linear,,,,,,,,,,,,,,,,,,,
stim_gain,CDF_INT1,"(epoch, stim_gain)",Stim Gain (gain of pulser for stim),data,RV,epoch,,,,no_plot,,stim_gain,I4,,,0,1,-128,,,linear,,,,,,,,,,,,,,,,,,,
a_l_stim,CDF_INT1,"(epoch, a_l_stim)","A L Stim (0 = ADC Stim event, 1 = Livetime Stim event)",data,RV,epoch,,,,no_plot,,a_l_stim,I4,,,0,1,-128,,,linear,,,,,,,,,,,,,,,,,,,
stim_step,CDF_UINT1,"(epoch, stim_step)",Stim Step (index of table of stim steps),data,RV,epoch,,,,no_plot,,stim_step,I8,,,0,254,255,,,linear,,,,,,,,,,,,,,,,,,,
dac_value,CDF_UINT2,"(epoch, dac_value)",Dac Value (pulser dac that controls voltage),data,RV,epoch,,,,no_plot,,dac_value,I8,,,0,10000,65535,,,linear,,,,,,,,,,,,,,,,,,,
detector_id,CDF_UINT1,detector_id,index used to support up to 64 detector addresses per event,support_data,NRV,,,,,no_plot,,detector_id,I4,Detector Id,,0,64,255,,,linear,,,,,,,,,,,,,,,,,,,