NAME,Data shape,DATA_TYPE,CATDESC,VAR_TYPE,RECORD_VARYING,DEPEND_0,DEPEND_1,DEPEND_2,DEPEND_3,DISPLAY_TYPE,VARIABLE_PURPOSE,FIELDNAM,FORMAT,LABLAXIS,UNITS,VALIDMIN,VALIDMAX,FILLVAL,LABL_PTR_1,LABL_PTR_2,LABL_PTR_3,LABL_PTRS,UNIT_PTR,SCALETYP,SCAL_PTR,VAR_NOTES,TIME_BASE,TIME_SCALE,LEAP_SECONDS_INCLUDED,ABSOLUTE_ERROR,AVG_TYPE,BIN_LOCATION,DELTA_PLUS_VAR,DELTA_MINUS_VAR,DERIVN,DICT_KEY,MONOTON,SCALEMIN,SCALEMAX,REFERENCE_POSITION,RELATIVE_ERROR,RESOLUTION,SI_CONVERSION
epoch,epoch,CDF_TIME_TT2000,"Time, number of nanoseconds since J2000 with leap seconds included",support_data,RV,,,,,no_plot,,epoch,,epoch,ns,1990-01-01T00:00:00.000000000,2099-12-31T00:00:00.000000000,9999-12-31T23:59:59.999999999,,,,,,linear,,,J2000,Terrestrial Time,,,,,epoch_delta,epoch_delta,,,INCREASE,,,Rotating Earth Geoid,,,
epoch_delta,epoch_delta,CDF_INT8,epoch_delta,support_data,RV,epoch,,,,no_plot,,epoch_delta,I14,epoch_delta,ns,0,86000000000000,-9223372036854775808,,,,,,linear,,,,,,,,,,,,,,,,,,,
h_intensity,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,H intensity by pitch angle and gyrophase,data,RV,epoch,h_energy,pitch_angle,gyrophase,spectrogram,"PRIMARY_VAR,SUMMARY",H_Intensity,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,h_intensity_delta_plus,h_intensity_delta_minus,,,,0.0001,1000,,,,
he4_intensity,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,He4 intensity by pitch angle and gyrophase,data,RV,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,"PRIMARY_VAR,SUMMARY",He4_Intensity,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,he4_intensity_delta_plus,he4_intensity_delta_minus,,,,0.0001,1000,,,,
cno_intensity,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,CNO intensity by pitch angle and gyrophase,data,RV,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,"PRIMARY_VAR,SUMMARY",CNO_Intensity,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,cno_intensity_delta_plus,cno_intensity_delta_minus,,,,0.0001,1000,,,,
nemgsi_intensity,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,NeMgSi intensity by pitch angle and gyrophase,data,RV,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,"PRIMARY_VAR,SUMMARY",NeMgSi_Intensity,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,nemgsi_intensity_delta_plus,nemgsi_intensity_delta_minus,,,,0.0001,1000,,,,
fe_intensity,"(epoch, fe_energy, pitch_angle, gyrophase)",CDF_REAL4,Fe intensity by pitch angle and gyrophase,data,RV,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,"PRIMARY_VAR,SUMMARY",Fe_Intensity,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,fe_intensity_delta_plus,fe_intensity_delta_minus,,,,0.0001,1000,,,,
h_intensity_pa,"(epoch, fe_energy, pitch_angle)",CDF_REAL4,H intensity by pitch angle,data,RV,epoch,h_energy,pitch_angle,,spectrogram,"PRIMARY_VAR,SUMMARY",H_Intensity_PA,g9.3,H Intensity PA,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,,,,log,,,,,,,,,h_intensity_pa_delta_plus,h_intensity_pa_delta_minus,,,,0.0001,1000,,,,
he4_intensity_pa,"(epoch, fe_energy, pitch_angle)",CDF_REAL4,He4 intensity by pitch angle,data,RV,epoch,he4_energy,pitch_angle,,spectrogram,"PRIMARY_VAR,SUMMARY",He4_Intensity_PA,g9.3,He4 Intensity PA,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,,,,log,,,,,,,,,he4_intensity_pa_delta_plus,he4_intensity_pa_delta_minus,,,,0.0001,1000,,,,
cno_intensity_pa,"(epoch, fe_energy, pitch_angle)",CDF_REAL4,CNO intensity by pitch angle,data,RV,epoch,cno_energy,pitch_angle,,spectrogram,"PRIMARY_VAR,SUMMARY",CNO_Intensity_PA,g9.3,CNO Intensity PA,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,,,,log,,,,,,,,,cno_intensity_pa_delta_plus,cno_intensity_pa_delta_minus,,,,0.0001,1000,,,,
nemgsi_intensity_pa,"(epoch, fe_energy, pitch_angle)",CDF_REAL4,NeMgSi intensity by pitch angle,data,RV,epoch,nemgsi_energy,pitch_angle,,spectrogram,"PRIMARY_VAR,SUMMARY",NeMgSi_Intensity_PA,g9.3,NeMgSi Intensity PA,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,,,,log,,,,,,,,,nemgsi_intensity_pa_delta_plus,nemgsi_intensity_pa_delta_minus,,,,0.0001,1000,,,,
fe_intensity_pa,"(epoch, fe_energy, pitch_angle)",CDF_REAL4,Fe intensity by pitch angle,data,RV,epoch,fe_energy,pitch_angle,,spectrogram,"PRIMARY_VAR,SUMMARY",Fe_Intensity_PA,g9.3,Fe Intensity PA,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,,,,log,,,,,,,,,fe_intensity_pa_delta_plus,fe_intensity_pa_delta_minus,,,,0.0001,1000,,,,
h_intensity_delta_plus,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for H by pitch angle and gyrophase,support_data,RV,epoch,h_energy,pitch_angle,gyrophase,spectrogram,,H_Plus_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_delta_minus,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for H by pitch angle and gyrophase,support_data,RV,epoch,h_energy,pitch_angle,gyrophase,spectrogram,,H_Minus_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_delta_plus,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for He4 by pitch angle and gyrophase,support_data,RV,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,,He4_Plus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_delta_minus,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for He4 by pitch angle and gyrophase,support_data,RV,epoch,he4_energy,pitch_angle,gyrophase,spectrogram,,He4_Minus_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_plus,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for CNO by pitch angle and gyrophase,support_data,RV,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,,CNO_Plus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_delta_minus,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for CNO by pitch angle and gyrophase,support_data,RV,epoch,cno_energy,pitch_angle,gyrophase,spectrogram,,CNO_Minus_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_plus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,RV,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,,NeMgSi_Plus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_delta_minus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for NeMgSi by pitch angle and gyrophase,support_data,RV,epoch,nemgsi_energy,pitch_angle,gyrophase,spectrogram,,NeMgSi_Minus_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_plus,"(epoch, fe_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for Fe by pitch angle and gyrophase,support_data,RV,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,,Fe_Plus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_delta_minus,"(epoch, fe_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for Fe by pitch angle and gyrophase,support_data,RV,epoch,fe_energy,pitch_angle,gyrophase,spectrogram,,Fe_Minus_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,gyrophase_label,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_pa_delta_plus,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for H by pitch angle ,support_data,RV,epoch,h_energy,pitch_angle,,spectrogram,,H_Plus_PA_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_intensity_pa_delta_minus,"(epoch, h_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for H by pitch angle ,support_data,RV,epoch,h_energy,pitch_angle,,spectrogram,,H_Minus_PA_Uncertainty,g9.3,H Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,h_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_pa_delta_plus,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for He4 by pitch angle ,support_data,RV,epoch,he4_energy,pitch_angle,,spectrogram,,He4_Plus_PA_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_intensity_pa_delta_minus,"(epoch, he4_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for He4 by pitch angle ,support_data,RV,epoch,he4_energy,pitch_angle,,spectrogram,,He4_Minus_PA_Uncertainty,g9.3,He4 Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,he4_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_pa_delta_plus,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for CNO by pitch angle ,support_data,RV,epoch,cno_energy,pitch_angle,,spectrogram,,CNO_Plus_PA_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_intensity_pa_delta_minus,"(epoch, cno_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for CNO by pitch angle ,support_data,RV,epoch,cno_energy,pitch_angle,,spectrogram,,CNO_Minus_PA_Uncertainty,g9.3,CNO Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,cno_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_pa_delta_plus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for NeMgSi by pitch angle ,support_data,RV,epoch,nemgsi_energy,pitch_angle,,spectrogram,,NeMgSi_Plus_PA_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_intensity_pa_delta_minus,"(epoch, nemgsi_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for NeMgSi by pitch angle ,support_data,RV,epoch,nemgsi_energy,pitch_angle,,spectrogram,,NeMgSi_Minus_PA_Uncertainty,g9.3,NeMgSi Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,nemgsi_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_pa_delta_plus,"(epoch, fe_energy, pitch_angle, gyrophase)",CDF_REAL4,Plus uncertainty for Fe by pitch angle ,support_data,RV,epoch,fe_energy,pitch_angle,,spectrogram,,Fe_Plus_PA_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_intensity_pa_delta_minus,"(epoch, fe_energy, pitch_angle, gyrophase)",CDF_REAL4,Minus uncertainty for Fe by pitch angle ,support_data,RV,epoch,fe_energy,pitch_angle,,spectrogram,,Fe_Minus_PA_Uncertainty,g9.3,Fe Intensity,1/(cm^2 s MeV/nuc sr),0,10000000000,-1.0000E+31,fe_energy_label,pitch_angle_label,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_energy,(num h energy ranges),CDF_REAL4,Energy bins for H by pitch angle and gyrophase,support_data,NRV,,,,,no_plot,,H_Energy,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,h_energy_delta_plus,h_energy_delta_minus,,,,,,,,,
he4_energy,(num he4 energy ranges),CDF_REAL4,Energy bins for He4 by pitch angle and gyrophase,support_data,NRV,,,,,no_plot,,He4_Energy,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,he4_energy_delta_plus,he4_energy_delta_minus,,,,,,,,,
cno_energy,(num cno energy ranges),CDF_REAL4,Energy bins for CNO by pitch angle and gyrophase,support_data,NRV,,,,,no_plot,,CNO_Energy,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,cno_energy_delta_plus,cno_energy_delta_minus,,,,,,,,,
nemgsi_energy,(num nemgsi energy ranges),CDF_REAL4,Energy bins for NeMgSi by pitch angle and gyrophase,support_data,NRV,,,,,no_plot,,NeMgSi_Energy,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,nemgsi_energy_delta_plus,nemgsi_energy_delta_minus,,,,,,,,,
fe_energy,(num fe energy ranges),CDF_REAL4,Energy bins for Fe by pitch angle and gyrophase,support_data,NRV,,,,,no_plot,,Fe_Energy,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,fe_energy_delta_plus,fe_energy_delta_minus,,,,,,,,,
h_energy_delta_plus,(num h energy ranges),CDF_REAL4,H energy bin Delta plus,support_data,NRV,,,,,no_plot,,h_energy_delta_plus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_energy_delta_plus,(num he4 energy ranges),CDF_REAL4,He4 energy bin Delta plus,support_data,NRV,,,,,no_plot,,he4_energy_delta_plus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_energy_delta_plus,(num cno energy ranges),CDF_REAL4,CNO energy bin Delta plus,support_data,NRV,,,,,no_plot,,cno_energy_delta_plus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_energy_delta_plus,(num nemgsi energy ranges),CDF_REAL4,NeMgSi energy bin Delta plus,support_data,NRV,,,,,no_plot,,nemgsi_energy_delta_plus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_energy_delta_plus,(num fe energy ranges),CDF_REAL4,Fe energy bin Delta plus,support_data,NRV,,,,,no_plot,,fe_energy_delta_plus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
h_energy_delta_minus,(num h energy ranges),CDF_REAL4,H energy bin Delta minus,support_data,NRV,,,,,no_plot,,h_energy_delta_minus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
he4_energy_delta_minus,(num he4 energy ranges),CDF_REAL4,He4 energy bin Delta minus,support_data,NRV,,,,,no_plot,,he4_energy_delta_minus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
cno_energy_delta_minus,(num cno energy ranges),CDF_REAL4,CNO energy bin Delta minus,support_data,NRV,,,,,no_plot,,cno_energy_delta_minus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
nemgsi_energy_delta_minus,(num nemgsi energy ranges),CDF_REAL4,NeMgSi energy bin Delta minus,support_data,NRV,,,,,no_plot,,nemgsi_energy_delta_minus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
fe_energy_delta_minus,(num fe energy ranges),CDF_REAL4,Fe energy bin Delta minus,support_data,NRV,,,,,no_plot,,fe_energy_delta_minus,F15.3,Energy,MeV,0,1000,-1.0000E+31,,,,,,log,,,,,,,,,,,,,,0.0001,1000,,,,
pitch_angle,(num pitch angle bins),CDF_REAL4,Pitch Angle Bin,support_data,NRV,,,,,no_plot,,pitch_angle,F15.3,Pitch Angle,Degree,0,180,-1.0000E+31,,,,,,linear,,,,,,,,,pitch_angle_delta,pitch_angle_delta,,,,,,,,,
pitch_angle_delta,(num pitch angle bins),CDF_REAL4,Pitch Angle Bin Delta,support_data,NRV,,,,,no_plot,,pitch_angle_delta,F15.3,Pitch Angle Delta,Degree,0,180,-1.0000E+31,,,,,,linear,,,,,,,,,,,,,,,,,,,
gyrophase,(num gyrophase bins),CDF_REAL4,Gyrophase,support_data,NRV,,,,,no_plot,,gyrophase,F15.3,Gyrophase,Degree,0,360,-1.0000E+31,,,,,,linear,,,,,,,,,gyrophase_delta,gyrophase_delta,,,,,,,,,
gyrophase_delta,(num gyrophase bins),CDF_REAL4,Gyrophase Delta,support_data,NRV,,,,,no_plot,,gyrophase_delta,F15.3,Gyrophase Delta,Degree,0,360,-1.0000E+31,,,,,,linear,,,,,,,,,,,,,,,,,,,
measurement_pitch_angle,(num pitch angle bins),CDF_REAL4,Measured input pitch angle before rebinning,data,RV,epoch,declination_idx,azimuth_idx,,no_plot,,measurement_pitch_angle,F15.3,Pitch Angle,Degree,0,180,-1.0000E+31,,,,,,linear,,,,,,,,,,,,,,,,,,,
measurement_gyrophase,(num gyrophase bins),CDF_REAL4,Measured input gyrophase before rebinning,data,RV,epoch,declination_idx,azimuth_idx,,no_plot,,measurement_gyrophase,F15.3,Gyrophase,Degree,0,360,-1.0000E+31,,,,,,linear,,,,,,,,,,,,,,,,,,,
h_energy_label,(h_energy),CDF_CHAR,Label for H energy,metadata,NRV,,,,,no_plot,,h_energy_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he4_energy_label,(he4_energy),CDF_CHAR,Label for He4 energy,metadata,NRV,,,,,no_plot,,he4_energy_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cno_energy_label,(cno_energy),CDF_CHAR,Label for CNO energy,metadata,NRV,,,,,no_plot,,cno_energy_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nemgsi_energy_label,(nemgsi_energy),CDF_CHAR,Label for NeMgSi energy,metadata,NRV,,,,,no_plot,,nemgsi_energy_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fe_energy_label,(fe_energy),CDF_CHAR,Label for Fe energy,metadata,NRV,,,,,no_plot,,fe_energy_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pitch_angle_label,(pitch_angle),CDF_CHAR,Label for Pitch Angle,metadata,NRV,,,,,no_plot,,pitch_angle_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gyrophase_label,(gyrophase),CDF_CHAR,Lable for Gyrophase ,metadata,NRV,,,,,no_plot,,gyrophase_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
declination_idx,,CDF_REAL4,Declination Index,support_data,NRV,,,,,no_plot,,declination_idx,F15.3,,,0,8,-1.0000E+31,declination_idx_label,,,,,,,,,,,,,,,,,,,,,,,,
azimuth_idx,,CDF_REAL4,Azimuth Index,support_data,NRV,,,,,no_plot,,azimuth_idx,F15.3,,,0,15,-1.0000E+31,azimuth_idx_label,,,,,,,,,,,,,,,,,,,,,,,,
declination_idx_label,,CDF_CHAR,Label for Declination Index,metadata,NRV,,,,,no_plot,,declination_idx_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azimuth_idx_label,,CDF_CHAR,Label for Azimuth Index,metadata,NRV,,,,,no_plot,,nemgsi_idx_label,a20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,