Name,Channel Number,Group
L1A0a,16,L1A0
L1A0b,17,L1A0
L1A0c,18,L1A0
L1A1a,19,L1A14
L1A1b,20,L1A14
L1A1c,21,L1A14
L1A2a,22,L1A14
L1A2b,23,L1A14
L1A2c,24,L1A14
L1A3a,25,L1A14
L1A3b,26,L1A14
L1A3c,27,L1A14
L1A4a,28,L1A14
L1A4b,29,L1A14
L1A4c,30,L1A14
L2A0,9,L2A
L2A1,8,L2A
L2A2,7,L2A
L2A3,6,L2A
L2A4,5,L2A
L2A5,4,L2A
L2A6,3,L2A
L2A7,2,L2A
L2A8,1,L2A
L2A9,0,L2A
L3Ao,15,L3A
L3Ai,14,L3A
L4Ao,31,L4oA
L4Ai,13,L4iA
L1B0a,32,L1B0
L1B0b,33,L1B0
L1B0c,34,L1B0
L1B1a,35,L1B14
L1B1b,36,L1B14
L1B1c,37,L1B14
L1B2a,38,L1B14
L1B2b,39,L1B14
L1B2c,40,L1B14
L1B3a,41,L1B14
L1B3b,42,L1B14
L1B3c,43,L1B14
L1B4a,44,L1B14
L1B4b,45,L1B14
L1B4c,46,L1B14
L2B0,57,L2B
L2B1,56,L2B
L2B2,55,L2B
L2B3,54,L2B
L2B4,53,L2B
L2B5,52,L2B
L2B6,51,L2B
L2B7,50,L2B
L2B8,49,L2B
L2B9,48,L2B
L3Bo,63,L3B
L3Bi,62,L3B
L4Bo,47,L4oB
L4Bi,61,L4iB